ubigeo,departamento,provincia,distrito,IASE_base,IASE_alt,clase_base,clase_alt,rank_base,rank_alt,rank_change,clase_change
120805,JUNIN,YAULI,MOROCOCHA,0.30214235098748987,0.4452770185447269,Bajo,Medio,607,590,17,True
040113,AREQUIPA,AREQUIPA,POCSI,0.3018800411190664,0.44488355374209165,Bajo,Medio,608,591,17,True
081002,CUSCO,PARURO,ACCHA,0.301874480759633,0.4488434671711956,Bajo,Medio,609,565,44,True
050802,AYACUCHO,PAUCAR DEL SARA SARA,COLTA,0.3017585629151424,0.44866959040445964,Bajo,Medio,610,569,41,True
080604,CUSCO,CANCHIS,MARANGANI,0.3017530436297525,0.4367565495716129,Bajo,Medio,611,635,-24,True
030304,APURIMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,0.3017162006892452,0.432733031192598,Bajo,Medio,612,655,-43,True
210504,PUNO,EL COLLAO,SANTA ROSA,0.3015799881169911,0.42459220439770895,Bajo,Medio,613,695,-82,True
050612,AYACUCHO,LUCANAS,OCAÃA,0.30157845951543977,0.4404629273683978,Bajo,Medio,614,613,1,True
120426,JUNIN,JAUJA,POMACANCHA,0.3011735319098189,0.43985553595996646,Bajo,Medio,615,617,-2,True
120501,JUNIN,JUNIN,JUNIN,0.30114366351623045,0.435598675154885,Bajo,Medio,616,642,-26,True
050905,AYACUCHO,SUCRE,HUACAÃA,0.30105150363163174,0.4476090014791937,Bajo,Medio,617,572,45,True
090309,HUANCAVELICA,ANGARAES,JULCAMARCA,0.3009953365931184,0.45149300488967764,Bajo,Medio,618,551,67,True
210603,PUNO,HUANCANE,HUATASANI,0.3009864011764168,0.44751134779637125,Bajo,Medio,619,574,45,True
090606,HUANCAVELICA,HUAYTARA,OCOYO,0.3009683780970458,0.44748431317731474,Bajo,Medio,620,575,45,True
120120,JUNIN,HUANCAYO,HUASICANCHA,0.3005965430292361,0.44295830660734625,Bajo,Medio,621,594,27,True
081201,CUSCO,QUISPICANCHI,URCOS,0.300596012378744,0.44692576459986205,Bajo,Medio,622,577,45,True
080307,CUSCO,ANTA,MOLLEPATA,0.3005837957730365,0.4429391857230469,Bajo,Medio,623,595,28,True
210110,PUNO,PUNO,PAUCARCOLLA,0.3005646931134843,0.44687878570197254,Bajo,Medio,624,578,46,True
210705,PUNO,LAMPA,OCUVIRI,0.30049109406358115,0.4348636252223559,Bajo,Medio,625,643,-18,True
090504,HUANCAVELICA,CHURCAMPA,EL CARMEN,0.30032475090581173,0.4504871263587176,Bajo,Medio,626,555,71,True
230204,TACNA,CANDARAVE,CURIBAYA,0.3002677215178487,0.4464333283085191,Bajo,Medio,627,580,47,True
210604,PUNO,HUANCANE,INCHUPALLA,0.30021499994439427,0.44238599198008355,Bajo,Medio,628,599,29,True
090603,HUANCAVELICA,HUAYTARA,CORDOVA,0.30017039765583126,0.44628734251549296,Bajo,Medio,629,583,46,True
080102,CUSCO,CUSCO,CCORCA,0.3000572914154041,0.4461176831548522,Bajo,Medio,630,585,45,True
081207,CUSCO,QUISPICANCHI,HUARO,0.30001306246709314,0.4420830857641318,Bajo,Medio,631,604,27,True
051001,AYACUCHO,VICTOR FAJARDO,HUANCAPI,0.30000478695584837,0.4460076695108462,Bajo,Medio,632,586,46,True
110202,ICA,CHINCHA,ALTO LARAN,0.2998052358190268,0.44177134579203226,Bajo,Medio,633,608,25,True
030611,APURIMAC,CHINCHEROS,LOS CHANKAS,0.2996787652488901,0.44554989390508115,Bajo,Medio,634,589,45,True
080603,CUSCO,CANCHIS,COMBAPATA,0.2993831176942287,0.4411381686048351,Bajo,Medio,635,612,23,True
090609,HUANCAVELICA,HUAYTARA,QUITO-ARMA,0.2986320589342417,0.4439798344331086,Bajo,Medio,636,592,44,True
110302,ICA,NASCA,CHANGUILLO,0.2984995917217215,0.43187637170956644,Bajo,Medio,637,665,-28,True
090610,HUANCAVELICA,HUAYTARA,SAN ANTONIO DE CUSICANCHA,0.298499363242205,0.43981253692679956,Bajo,Medio,638,618,20,True
110208,ICA,CHINCHA,SAN JUAN DE YANAC,0.2984654127846052,0.4397616112403999,Bajo,Medio,639,619,20,True
120427,JUNIN,JAUJA,RICRAN,0.29839299557903987,0.4396529854320519,Bajo,Medio,640,620,20,True
080601,CUSCO,CANCHIS,SICUANI,0.2979416611717592,0.411691311791128,Bajo,Medio,641,742,-101,True
110104,ICA,ICA,OCUCAJE,0.29777940017762455,0.430796084393421,Bajo,Medio,642,670,-28,True
081001,CUSCO,PARURO,PARURO,0.2977542161891374,0.44266307031545216,Bajo,Medio,643,597,46,True
050615,AYACUCHO,LUCANAS,SAN CRISTOBAL,0.29774315155271014,0.43867821939255724,Bajo,Medio,644,621,23,True
081208,CUSCO,QUISPICANCHI,LUCRE,0.297708813892779,0.44259496687091454,Bajo,Medio,645,598,47,True
080201,CUSCO,ACOMAYO,ACOMAYO,0.29754820939442,0.4423540601233761,Bajo,Medio,646,600,46,True
040511,AREQUIPA,CAYLLOMA,LLUTA,0.29750153983467975,0.43434754784725776,Bajo,Medio,647,645,2,True
050707,AYACUCHO,PARINACOCHAS,SAN FRANCISCO DE RAVACAYCO,0.2971723965712811,0.44179034088866764,Bajo,Medio,648,607,41,True
230407,TACNA,TARATA,TARUCACHI,0.29713977725457674,0.44174141191361116,Bajo,Medio,649,609,40,True
110303,ICA,NASCA,EL INGENIO,0.29690768579401244,0.4334567667862568,Bajo,Medio,650,650,0,True
211003,PUNO,SAN ANTONIO DE PUTINA,PEDRO VILCA APAZA,0.29684117557153233,0.44129350938904455,Bajo,Medio,651,611,40,True
050601,AYACUCHO,LUCANAS,PUQUIO,0.2966793251512171,0.4323871890563834,Bajo,Medio,652,660,-8,True
090614,HUANCAVELICA,HUAYTARA,SANTIAGO DE QUIRAHUARA,0.2962102164474366,0.44034707070290097,Bajo,Medio,653,615,38,True
120802,JUNIN,YAULI,CHACAPALPA,0.296065340636723,0.44012975698683054,Bajo,Medio,654,616,38,True
110207,ICA,CHINCHA,PUEBLO NUEVO,0.2957624335256581,0.42777063441547136,Bajo,Medio,655,683,-28,True
040306,AREQUIPA,CARAVELI,CAHUACHO,0.29573616103609085,0.43169947964937444,Bajo,Medio,656,667,-11,True
210111,PUNO,PUNO,PICHACANI,0.29533019429814844,0.42712227557420684,Bajo,Medio,657,686,-29,True
210602,PUNO,HUANCANE,COJATA,0.29525593885144724,0.430979146372409,Bajo,Medio,658,668,-10,True
090613,HUANCAVELICA,HUAYTARA,SANTIAGO DE CHOCORVOS,0.29525545752431215,0.41907366247694444,Bajo,Medio,659,712,-53,True
230109,TACNA,TACNA,SAMA,0.29497931174565517,0.4305642057137209,Bajo,Medio,660,674,-14,True
030405,APURIMAC,AYMARAES,COLCABAMBA,0.29467685322108794,0.44201527983163197,Bajo,Medio,661,605,56,True
120502,JUNIN,JUNIN,CARHUAMAYO,0.29464527520183587,0.43799965883449987,Bajo,Medio,662,627,35,True
080305,CUSCO,ANTA,HUAROCONDO,0.29459442878838443,0.43395513524606877,Bajo,Medio,663,648,15,True
080206,CUSCO,ACOMAYO,RONDOCAN,0.2941698282647438,0.43728648842886175,Bajo,Medio,664,631,33,True
210310,PUNO,CARABAYA,USICAYOS,0.2941241714641042,0.4292814952913944,Bajo,Medio,665,679,-14,True
050621,AYACUCHO,LUCANAS,SANTA LUCIA,0.293998633248285,0.42512493399941165,Bajo,Medio,666,692,-26,True
080503,CUSCO,CANAS,KUNTURKANKI,0.2939402930053914,0.43297393157157915,Bajo,Medio,667,654,13,True
030211,APURIMAC,ANDAHUAYLAS,POMACOCHA,0.2938842959898698,0.4368581900165508,Bajo,Medio,668,633,35,True
210212,PUNO,AZANGARO,SAN JOSE,0.2936457732072202,0.43253215187432237,Bajo,Medio,669,657,12,True
110108,ICA,ICA,SALAS,0.2934846811491409,0.4322905137872034,Bajo,Medio,670,662,8,True
030307,APURIMAC,ANTABAMBA,SABAINO,0.29343510248581023,0.43618439976046136,Bajo,Medio,671,637,34,True
